date,datatype,station,attributes,value
2013-05-14T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-05-15T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0700",0.0
2013-05-16T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.04
2013-05-17T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2013-05-20T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.04
2013-05-22T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-05-23T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0745",0.03
2013-05-24T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2013-05-25T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2013-05-26T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2013-05-27T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.02
2013-05-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-05-29T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-05-30T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.26
2013-05-31T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-01T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-02T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-03T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-04T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-05T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.3
2013-06-06T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-07T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0730",0.0
2013-06-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-09T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-11T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-12T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-13T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-14T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-15T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-16T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-17T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.02
2013-06-18T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-20T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
2013-06-21T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0730",0.0
